accuracy,accuracy_delta_vs_original,generation_exact_match,greedy_agreement,logits_compared,mean_host_source_payload_bytes,mean_logical_selected_bytes,mean_logits_kl,mean_logits_rmse,mean_physical_prefetch_bytes,mean_selector_bytes,mean_ssd_read_bytes,mean_ttft_ms,mean_unique_selected_bytes,n,p95_ttft_ms,paired_bootstrap95_delta,physical_alias_verified,physical_resolve_calls,prediction_agreement_vs_original,prefix_buffer_bytes,private_cache_bounded,reader_bytes,selection_agreement_vs_original,variant
0.5546875,-0.0859375,,0.984375,128,225607680,283279360,0.07588319078467975,0.8617287250235677,283279360,5690880,88244224,2359.0500413356494,,128,2586.0447140876204,"[-0.15625, -0.0234375]",,,0.796875,,,,0,fullkv
0.640625,0,,1,128,16598080,70647808,0.0,0.0,73958656,5690880,1931008,343.94107141997665,,128,436.1319950548932,"[0.0, 0.0]",,,1,,,,1,original
0.640625,0,,0.9921875,128,13332224,70647808,0.0011158909946280444,0.06569549991399981,70647808,5690880,258304,292.4573662585317,70647808,128,335.60228208079934,"[0.0, 0.0]",True,[28],1,70647808,,0,0.0234375,identity
0.640625,0,,1,128,16658240,70647808,0.0,0.0,74018304,5690880,1980160,348.8044148853078,,128,443.43716802541167,"[0.0, 0.0]",,,1,,,,1,original_context
0.6640625,0.0234375,,0.9375,128,10947392,70647808,0.8489803814118204,2.2651258828118443,68132864,5690880,245504,280.5109241135142,68132864,128,339.2258199164644,"[-0.03125, 0.078125]",True,[27],0.90625,68132864,True,264192,0.0234375,direct1
0.6484375,0.0078125,,0.984375,128,10947392,70647808,0.009840575876320923,0.12884505809051916,68132864,5690880,245504,279.05919857130357,68132864,128,331.6456450847909,"[0.0, 0.0234375]",True,[27],0.984375,68132864,True,264192,0.0234375,dense1
0.5390625,-0.1015625,,0.984375,128,6728320,70647808,0.11050755952055624,0.5425158604048193,63102976,5690880,225280,271.6733326042231,63102976,128,326.1349230306223,"[-0.1640625, -0.0390625]",True,[25],0.8203125,63102976,True,792576,0,dense3
0.546875,-0.09375,,0.9296875,128,1798656,70647808,0.24385669613320715,0.8019267788622528,53043200,5690880,158976,247.7277528569175,53043200,128,306.6133790416643,"[-0.15625, -0.03125]",True,[21],0.8203125,53043200,True,1849344,0,dense7
0.6484375,0.0078125,,,,10947392,70647808,,,68132864,5690880,245504,273.31670616422343,68132864,128,339.4150610547513,"[0.0, 0.0234375]",True,[27],0.984375,68132864,True,264192,0.0234375,dense1_repeat
0.640625,0,,,,16782400,70647808,,,74142720,5690880,2063872,335.2130375969864,,128,399.8132679844275,"[0.0, 0.0]",,,1,,,,1,original_repeat
0.8125,0,,1,32,13411072,70647808,0.0006223024809053346,0.05777439509984106,70647808,5690880,520192,245.34909749490907,70647808,32,291.32564400788397,"[0.0, 0.0]",True,[28],1,70647808,True,0,1,identity_fixed_v2
0.8125,0,,1,32,11055744,70647808,0.0032983803419313062,0.12436929577961564,68132864,5690880,493568,288.613808741502,68132864,32,343.2500429917127,"[0.0, 0.0]",True,[27],1,68132864,True,264192,1,dense1_fixed_v2
0.75,0,,1,8,15776768,70647808,0.0,0.0,73203712,5690880,1708032,278.90350301458966,,8,336.2391400150955,"[0.0, 0.0]",,,1,,,,1,original_gen8
0.75,0,1,1,8,10869760,70647808,0.0027760787075976623,0.12663914263248444,68132864,5690880,0,270.15888824826106,68132864,8,300.0634190393612,"[0.0, 0.0]",True,[27],1,68132864,True,264192,0,dense1_gen8
