budget_pct,task,samples,baseline_accuracy_pct,optimized_accuracy_pct,baseline_mean_ms,optimized_mean_ms,reduction_pct,baseline_p95_ms,optimized_p95_ms,exact,baseline_mean_first_token_ready_ms,optimized_mean_first_token_ready_ms,baseline_mean_response_ready_ms,optimized_mean_response_ready_ms,baseline_mean_evaluation_ready_ms,optimized_mean_evaluation_ready_ms,baseline_mean_prefetch_wait_ms,optimized_mean_prefetch_wait_ms,baseline_mean_cache_update_ms,optimized_mean_cache_update_ms,baseline_mean_selector_compute_ms,optimized_mean_selector_compute_ms,baseline_mean_selector_wait_ms,optimized_mean_selector_wait_ms,baseline_mean_physical_prefetch_kv_bytes,optimized_mean_physical_prefetch_kv_bytes,baseline_mean_read_amplification,optimized_mean_read_amplification
5,sst2,867,92.50288350634371,92.50288350634371,106.30273293838606,107.40557847817932,-1.0374573722695235,116.05706496629864,118.61162399873137,True,106.42306027813646,107.52499081981782,106.51241024825056,107.61228587581522,106.82354558924172,107.92679603468314,5.318761261818112,5.665937446126545,6.342735691366646,5.982846977144067,18.706812425283445,18.903375445707187,0.3861738837484137,0.3903084002207479,11237999.612456748,11237992.525951557,1.0651950808670307,1.0651944092428824
5,subj,998,54.208416833667336,54.208416833667336,135.34575339860726,128.80982473429165,4.829060757500548,166.86370794195682,152.87228499073535,True,135.47801069695063,128.93412961159834,135.57330117876342,129.02504648886833,164.7864773542665,156.6657488969694,13.495896822065562,13.001222507318927,7.862704473114638,6.975365192806703,31.131911768511735,27.363602325016025,0.4329673288238864,0.41431022172454063,13271573.547094189,13270096.032064129,1.0649652054823577,1.0648466384616497
5,trec,495,42.22222222222222,42.22222222222222,142.89041906712822,141.27226782482907,1.1324420859448625,169.80094101745635,171.00283701438457,True,143.02536725405264,141.39977400238163,143.1190531893699,141.49049137356795,230.86471981980432,224.99334606920567,19.104095883291176,20.204351737982396,7.355193542833957,6.6275606341095585,34.94692779514525,31.635086482281636,0.44667176582446,0.4324963814908206,14822654.44848485,14821131.894949496,1.0618580167875984,1.0617489448475355
5,rte,272,88.60294117647058,88.60294117647058,151.4469221690567,174.53064134272554,-15.242118389108628,186.59977393690497,208.56133906636387,True,151.57217897906187,174.67851374385646,151.6652584571549,174.78348370401793,279.14218180804335,328.3370550313574,17.268255269514423,16.508997273323235,11.085195273421157,11.933609131922234,34.8979329215123,48.17922786716372,0.41304445767309517,0.48716963732765767,18048700.23529412,18048700.23529412,1.0648649323053971,1.0648649323053971
10,sst2,867,93.31026528258363,93.31026528258363,142.15262643141605,157.35132800578435,-10.691819036984995,175.16457894816995,177.9167311033234,True,142.2866195727101,157.50354150016904,142.38746824079206,157.60982896076706,142.73305495192793,157.9907812919863,10.780966389256141,9.232207031967816,9.985652158327934,11.207331190151061,29.500050427480208,37.72577193628936,0.44149961032514756,0.4980506152806174,22832582.71741638,22832915.78316032,1.0641087342716702,1.0641241935308963
10,subj,998,52.605210420841686,52.605210420841686,151.93643091017387,166.9307851154667,-9.868834035042994,178.9584329817444,201.526343007572,True,152.06009065377748,167.0700219883966,152.14818948786518,167.16916246768014,179.80837790138705,197.86590418509135,18.226646336928415,18.049570544714292,10.780310432075753,11.84836088505691,32.60586483784875,39.62827710288097,0.41673918530430815,0.4638446258606841,26597724.85771543,26661750.509018037,1.0596567580714074,1.0622075515643998
10,trec,495,66.06060606060606,66.06060606060606,191.3807902257005,176.83788690871248,7.598935765620574,218.31152599770576,206.39596006367356,True,191.5356798205675,176.98369630438398,191.64808434010908,177.09030045638556,292.82485579088745,273.5168686837447,27.133416078721332,24.615769007835876,15.056583308849973,13.073627631687982,48.27297826976036,42.772633819451386,0.5156066877805073,0.49760251498846997,29858333.995959595,29777771.054545455,1.0620093711002825,1.0591438864166132
10,rte,272,85.29411764705883,85.29411764705883,202.34560790541923,202.25105305743296,0.04672937997768356,250.03869400825351,244.06769289635122,True,202.4759878494318,202.3837525750209,202.57527481675532,202.47555867835592,332.5210675714462,336.0534283912035,32.56588826993453,29.62305323094102,17.923205282439834,17.4964970574365,41.319474943865586,42.69103550326134,0.4507486116969684,0.44747348104411844,36298390.5882353,36338507.294117644,1.0607986311594308,1.061971017758313
25,sst2,867,93.6562860438293,93.6562860438293,251.6357398721107,238.7105569563271,5.136465480759044,287.5983910635114,269.40941100474447,True,251.788262885833,238.85843620166685,251.89641469927352,238.96325787439653,252.28184421606912,239.3365751386909,26.4579229935791,25.916086947019057,29.88663215658519,27.933349668809925,57.79894761052391,53.659141630820514,0.5179718832325324,0.5080409747072535,56828605.56401384,56822553.68858132,1.050296171440436,1.0501844666326035
25,subj,998,54.809619238476955,54.809619238476955,238.52588953697617,244.6726822314825,-2.576991833648923,305.0096509978175,284.610684029758,True,238.65943641671518,244.82166720064308,238.75488704238424,244.9249476597986,268.9664875171642,278.18047013453383,34.437577895850936,27.805177785921842,27.650956645372784,29.36128111062049,42.46653884710867,50.94047528245992,0.46565703079962956,0.5053806119600315,65798636.50501002,66025352.977955915,1.0431246909403211,1.0467188923301158
