key,wall_ms,prepare_pack_union_ms,host_gather_union_ms,prepare_pack_excluding_host_gather_ms,source_accounting_union_ms,gather_overlap_main_resolve_ms,host_gather_overlap_gpu_kernel_ms,host_gather_overlap_gpu_busy_ms,prepare_pack_overlap_gpu_busy_ms,host_gather_calls
k005/sst2,131.335624,27.24732225,3.081044,24.16627825,2.4766865,1.50759075,0.7887515,0.7887515,3.1577705,6
k005/subj,197.03621099999998,38.575895,10.375074249999999,28.20082075,3.42964925,7.13007525,1.5779285,1.5779285,3.7938785,6
k005/trec,220.79866625,53.9256345,12.812077,41.1135575,3.6568555,9.072648000000001,2.101844,2.101844,4.80285425,6
k005/rte,172.54672025,46.212346249999996,13.312789,32.89955725,2.7223735,11.29009475,2.56499775,2.56749375,5.96825875,6
k010/sst2,159.12611075,42.88096875,5.23756,37.64340875,2.57615225,4.05147,0.9096825000000001,0.9096825000000001,4.19003075,6
k010/subj,180.14823375,60.21516475,15.431949,44.78321575,2.8015339999999997,14.3265415,1.8672095,1.8672095,5.76170275,6
k010/trec,175.3269,56.6012975,16.541659,40.059638500000005,2.7809049999999997,14.8246935,2.01586625,2.01586625,4.6529775,6
k010/rte,208.814591,74.800209,18.61139025,56.188818749999996,2.96251,17.7494895,1.999023,1.999951,8.414042,6
k025/sst2,254.72438275,159.4756715,57.07996575,102.39570575,2.8788755,26.86768125,6.914635,6.9457075,19.701337,61.5
k025/subj,308.47432175,208.90816225,92.2022245,116.70593775,4.29526975,42.8838555,12.841724,12.9759515,28.7961035,62
k025/trec,383.67486025,208.264832,89.595484,118.669348,4.2605664999999995,51.7969065,8.368197,8.4307745,20.593126,62
k025/rte,339.727582,233.26713475,132.2299675,101.03716725000001,4.922901,68.40366025,18.47907825,18.65034525,35.2747995,62
k050/sst2,346.38370000000003,230.9492425,117.55387875,113.39536375,5.0859505,60.445205,15.09644375,15.18430075,29.4947385,62
k050/subj,391.73907875,271.57359675,164.36604775,107.207549,5.7238675,84.174581,20.240528,20.376394,36.761807250000004,62
k050/trec,418.04230474999997,281.71670075,143.790853,137.92584775,4.21635675,67.84640675,15.91459575,16.035141499999998,34.495121999999995,62
k050/rte,700.0590455,452.397009,237.71165875,214.68535025,6.15858425,122.406133,23.67033425,23.76765575,44.9215435,62
